Position,Driver,Team,Number,Laps,Time,Interval,Km/h,Pits,Points
1,O. Piastri,McLaren,81,56,1:30:55.026,—,201.325,1,25
2,L. Norris,McLaren,4,56,1:30:04.774,9.748,200.966,1,18
3,G. Russell,Mercedes,63,56,1:31:06.123,1.349,200.917,1,15
4,M. Verstappen,Red Bull Racing,1,56,1:31:11.682,5.559,200.712,1,12
dq,C. Leclerc,Ferrari,16,56,1:31:18.237,6.555,200.472,1,0
dq,L. Hamilton,Ferrari,44,56,1:31:20.407,2.170,200.393,2,0
5,E. Ocon,Haas F1 Team,31,56,1:31:44.996,24.588,199.498,1,10
6,A. Antonelli,Mercedes,12,56,1:31:48.774,3.779,199.361,1,8
dq,P. Gasly,Alpine,10,56,1:32:02.221,5.892,198.876,1,0
7,A. Albon,Williams,23,56,1:31:51.347,2.573,199.268,1,6
8,O. Bearman,Haas F1 Team,87,56,1:31:56.329,4.892,199.088,1,4
9,L. Stroll,Aston Martin Racing,18,56,1:32:05.230,3.009,198.767,2,2
10,C. Sainz,Williams,55,56,1:32:11.413,6.183,198.545,1,1
11,I. Hadjar,Racing Bulls,6,56,1:32:13.301,2.488,198.456,2,0
12,L. Lawson,Red Bull Racing,30,56,1:32:16.173,2.272,198.374,2,0
13,J. Doohan,Alpine,7,56,1:32:23.427,7.254,198.115,2,0
14,G. Bortoleto,Sauber,5,55,1:31:05.782,1 Lap,197.339,2,0
15,N. Hulkenberg,Sauber,27,55,1:31:15.262,9.470,196.998,2,0
16,Y. Tsunoda,Racing Bulls,22,55,1:31:18.537,3.285,196.879,2,0
dnf,F. Alonso,Aston Martin Racing,14,4,7:25.574,51 Laps,174.629,1,0
