Position,Driver,Team,Number,Laps,Time,Interval,Km/h,Pits,Points
1,M. Verstappen,Red Bull Racing,1,53,1:22:06.983,—,224.659,1,25
2,L. Norris,McLaren,4,53,1:22:08.406,1.423,224.595,1,18
3,O. Piastri,McLaren,81,53,1:22:09.112,0.706,224.562,1,15
4,C. Leclerc,Ferrari,16,53,1:22:23.080,13.988,223.928,1,12
5,G. Russell,Mercedes,63,53,1:22:24.345,1.265,223.871,1,10
6,A. Antonelli,Mercedes,12,53,1:22:25.654,1.309,223.811,1,8
7,L. Hamilton,Ferrari,44,53,1:22:36.165,10.511,223.337,1,6
8,I. Hadjar,Racing Bulls,6,53,1:22:44.117,7.952,222.979,1,4
9,A. Albon,Williams,23,53,1:22:47.360,3.233,222.834,1,2
10,O. Bearman,Haas F1 Team,87,53,1:23:01.512,14.162,222.2,1,1
11,F. Alonso,Aston Martin Racing,14,53,1:23:04.316,2.804,222.075,1,1
12,Y. Tsunoda,Red Bull Racing,22,53,1:23:05.384,1.068,222.028,1,1
13,P. Gasly,Alpine,10,53,1:23:09.105,3.721,221.862,1,1
14,C. Sainz,Williams,55,53,1:23:21.112,12.007,221.329,1,1
15,J. Doohan,Alpine,7,53,1:23:28.297,7.185,221.012,1,1
16,N. Hulkenberg,Sauber,27,53,1:23:28.940,0.643,220.984,1,1
17,L. Lawson,Red Bull Racing,30,53,1:23:29.717,0.777,220.949,1,1
18,E. Ocon,Haas F1 Team,31,53,1:23:30.421,0.704,220.918,1,1
19,G. Bortoleto,Sauber,5,53,1:23:33.080,0.459,220.898,1,1
20,L. Stroll,Aston Martin Racing,18,52,1:22:19.912,1 Lap,219.84,2,0
