position,driver,team,number,laps,time,interval,tyres,km/h,race_name,pits,points,podium,race_name_clean,circuit_difficulty,driver_code,team_code,constructor_code,grid_position,position_change
1.0,G. Russell,Mercedes,63,91,1:29.545,—,M,217.579,Bahrain Preseason Test 3,0.0,0.0,1,bahrain_preseason_test_3,3.0,7,5,5,10,9.0
2.0,M. Verstappen,Red Bull Racing,1,81,1:29.566,0.021,M,217.528,Bahrain Preseason Test 3,0.0,0.0,1,bahrain_preseason_test_3,3.0,14,7,7,10,8.0
3.0,A. Albon,Williams,23,137,1:29.650,0.084,M,217.325,Bahrain Preseason Test 3,0.0,0.0,1,bahrain_preseason_test_3,3.0,0,9,9,10,7.0
4.0,O. Piastri,McLaren,81,85,1:29.940,0.290,M,216.624,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,17,4,4,10,6.0
5.0,P. Gasly,Alpine,10,84,1:30.040,0.100,M,216.383,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,18,0,0,10,5.0
6.0,L. Hamilton,Ferrari,44,47,1:30.345,0.305,M,215.653,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,10,2,2,10,4.0
7.0,Y. Tsunoda,Racing Bulls,22,87,1:30.497,0.152,M,215.291,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,19,6,6,10,3.0
8.0,E. Ocon,Haas F1 Team,31,103,1:30.728,0.231,M,214.742,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,4,3,3,10,2.0
9.0,C. Leclerc,Ferrari,16,66,1:30.811,0.083,M,214.546,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,2,2,2,10,1.0
10.0,A. Antonelli,Mercedes,12,61,1:30.888,0.077,M,214.364,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,1,5,5,10,0.0
11.0,L. Norris,McLaren,4,57,1:30.943,0.055,M,214.235,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,12,4,4,10,-1.0
12.0,J. Doohan,Alpine,7,61,1:31.239,0.296,M,213.54,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,9,0,0,10,-2.0
13.0,L. Stroll,Aston Martin Racing,18,34,1:31.699,0.460,M,212.469,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,13,1,1,10,-3.0
14.0,N. Hulkenberg,Sauber,27,69,1:31.725,0.027,M,212.406,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,15,8,8,10,-4.0
15.0,I. Hadjar,Racing Bulls,6,73,1:31.761,0.035,M,212.325,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,8,6,6,10,-5.0
16.0,F. Alonso,Aston Martin Racing,14,82,1:32.084,0.323,M,211.58,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,5,1,1,10,-6.0
17.0,G. Bortoleto,Sauber,5,35,1:32.147,0.063,M,211.436,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,6,8,8,10,-7.0
18.0,O. Bearman,Haas F1 Team,87,59,1:32.361,0.214,M,210.946,Bahrain Preseason Test 3,0.0,0.0,0,bahrain_preseason_test_3,3.0,16,3,3,10,-8.0
1.0,L. Norris,McLaren,4,57,1:42:06.304,—,0,176.786,Australian GP,5.0,25.0,1,australian_gp,3.0,12,4,4,10,9.0
2.0,M. Verstappen,Red Bull Racing,1,57,1:42:07.199,0.895,0,176.76,Australian GP,5.0,18.0,1,australian_gp,3.0,14,7,7,10,8.0
3.0,G. Russell,Mercedes,63,57,1:42:14.785,7.586,0,176.541,Australian GP,5.0,15.0,1,australian_gp,3.0,7,5,5,10,7.0
4.0,A. Antonelli,Mercedes,12,57,1:42:16.439,1.654,0,176.494,Australian GP,5.0,12.0,0,australian_gp,3.0,1,5,5,10,6.0
5.0,A. Albon,Williams,23,57,1:42:19.077,2.638,0,176.418,Australian GP,5.0,10.0,0,australian_gp,3.0,0,9,9,10,5.0
6.0,L. Stroll,Aston Martin Racing,18,57,1:42:23.717,4.640,0,176.285,Australian GP,5.0,8.0,0,australian_gp,3.0,13,1,1,10,4.0
