race_name,date,circuit,driver,team,grid_position,driver_code,constructor_code,position_change,podium,circuitRef,driverRef,constructorRef,recent_driver_form,constructor_win_rate,circuit_familiarity,driver_experience,constructor_experience,grid_importance,weather_impact
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,M. Verstappen,Red Bull Racing,0,12,7,0,0,bahrain,max_verstappen,red_bull,2.3043478260869565,0.1548223350253807,11.0,209.0,788,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,S. Perez,Red Bull Racing,0,16,7,0,0,bahrain,unknown,red_bull,9.511425462459195,0.1548223350253807,1.0,1.0,788,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,C. Leclerc,Ferrari,0,1,2,0,0,bahrain,unknown,ferrari,9.511425462459195,0.10209102091020911,1.0,1.0,2439,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,C. Sainz,Ferrari,0,2,2,0,0,bahrain,unknown,ferrari,9.511425462459195,0.10209102091020911,1.0,1.0,2439,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,L. Hamilton,Mercedes,0,8,5,0,0,bahrain,unknown,mercedes,9.511425462459195,0.19785276073619631,1.0,1.0,652,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,G. Russell,Mercedes,0,6,5,0,0,bahrain,unknown,mercedes,9.511425462459195,0.19785276073619631,1.0,1.0,652,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,L. Norris,McLaren,0,9,4,0,0,bahrain,unknown,mclaren,9.511425462459195,0.09620384815392616,1.0,1.0,1923,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,O. Piastri,McLaren,0,14,4,0,0,bahrain,unknown,mclaren,9.511425462459195,0.09620384815392616,1.0,1.0,1923,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,F. Alonso,Aston Martin,0,5,1,0,0,bahrain,unknown,aston_martin,9.511425462459195,0.0,1.0,1.0,191,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,L. Stroll,Aston Martin,0,11,1,0,0,bahrain,unknown,aston_martin,9.511425462459195,0.0,1.0,1.0,191,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,E. Ocon,Alpine,0,4,0,0,0,bahrain,unknown,alpine,9.511425462459195,0.005555555555555556,1.0,1.0,180,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,P. Gasly,Alpine,0,15,0,0,0,bahrain,unknown,alpine,9.511425462459195,0.005555555555555556,1.0,1.0,180,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,A. Albon,Williams,0,0,9,0,0,bahrain,unknown,williams,9.511425462459195,0.06801909307875895,1.0,1.0,1676,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,L. Sargeant,Williams,0,10,9,0,0,bahrain,unknown,williams,9.511425462459195,0.06801909307875895,1.0,1.0,1676,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,D. Ricciardo,RB,0,3,6,0,0,bahrain,unknown,rb,9.511425462459195,0.0,1.0,1.0,48,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,Y. Tsunoda,RB,0,18,6,0,0,bahrain,unknown,rb,9.511425462459195,0.0,1.0,1.0,48,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,V. Bottas,Sauber,0,17,8,0,0,bahrain,unknown,sauber,9.511425462459195,0.0,1.0,1.0,837,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,Z. Guanyu,Sauber,0,19,8,0,0,bahrain,unknown,sauber,9.511425462459195,0.0,1.0,1.0,837,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,K. Magnussen,Haas F1 Team,0,7,3,0,0,bahrain,kevin_magnussen,haas,13.454545454545455,0.0,10.0,186.0,380,1.0,1.0
Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,N. Hulkenberg,Haas F1 Team,0,13,3,0,0,bahrain,unknown,haas,9.511425462459195,0.0,1.0,1.0,380,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,M. Verstappen,Red Bull Racing,0,12,7,0,0,jeddah,max_verstappen,red_bull,2.3043478260869565,0.1548223350253807,4.0,209.0,788,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,S. Perez,Red Bull Racing,0,16,7,0,0,jeddah,unknown,red_bull,9.511425462459195,0.1548223350253807,1.0,1.0,788,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,C. Leclerc,Ferrari,0,1,2,0,0,jeddah,unknown,ferrari,9.511425462459195,0.10209102091020911,1.0,1.0,2439,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,C. Sainz,Ferrari,0,2,2,0,0,jeddah,unknown,ferrari,9.511425462459195,0.10209102091020911,1.0,1.0,2439,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,L. Hamilton,Mercedes,0,8,5,0,0,jeddah,unknown,mercedes,9.511425462459195,0.19785276073619631,1.0,1.0,652,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,G. Russell,Mercedes,0,6,5,0,0,jeddah,unknown,mercedes,9.511425462459195,0.19785276073619631,1.0,1.0,652,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,L. Norris,McLaren,0,9,4,0,0,jeddah,unknown,mclaren,9.511425462459195,0.09620384815392616,1.0,1.0,1923,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,O. Piastri,McLaren,0,14,4,0,0,jeddah,unknown,mclaren,9.511425462459195,0.09620384815392616,1.0,1.0,1923,1.0,1.0
Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,F. Alonso,Aston Martin,0,5,1,0,0,jeddah,unknown,aston_martin,9.511425462459195,0.0,1.0,1.0,191,1.0,1.0
